;;;;;;;;;;;;;;
id;Ведущий вуз;Средний балл ЕГЭ студентов, принятых по результатам ЕГЭ на обучение по очной форме по программам бакалавриата и специалитета за счет средств соответствующих бюджетов бюджетной системы РФ;Количество цитирований публикаций, изданных за последние 5 лет, индексируемых в информационно-аналитической системе научного цитирования Web of Science в расчете на 100 НПР;Количество цитирований публикаций, изданных за последние 5 лет, индексируемых в информационно-аналитической системе научного цитирования Scopus в расчете на 100 НПР;Число публикаций организации, индексируемых в информационно-аналитической системе научного цитирования Web of Science, в расчете на 100 НПР;Число публикаций организации, индексируемых в информационно-аналитической системе научного цитирования Scopus, в расчете на 100 НПР;Доходы от НИОКР (за исключением средств бюджетов бюджетной системы Российской Федерации, государственных фондов поддержки науки) в расчете на одного НПР;Удельный вес численности НПР без ученой степени – до 30 лет, кандидатов наук – до 35 лет, докторов наук – до 40 лет, в общей численности НПР;Количество полученных грантов за отчетный год в расчете на 100 НПР;Доходы образовательной организации из средств от приносящей доход деятельности в расчете на одного НПР;Число статей, подготовленных совместно с зарубежными организациями;Доля доходов вуза из внебюджетных источников;Доля доходов вуза от научных исследований и разработок в общих доходах вуза;Доля внебюджетных средств в доходах от научных исследований и разработок
id;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14
96;0;60.960;2.680;186.810;0.670;4.020;45.110;5.930;0.670;705.980;0.000;42.020;2.680;100.000
97;0;55.020;7.420;11.340;2.180;4.360;89.580;3.290;1.310;568.750;2.000;29.960;4.720;100.000
99;0;69.080;51.500;56.980;23.530;28.410;129.330;16.780;9.920;806.070;18.000;29.210;11.240;41.700
101;0;53.540;64.430;59.060;1.340;2.680;86.710;9.090;2.680;675.820;0.000;21.330;8.510;32.170
103;0;61.610;56.860;96.730;19.570;20.310;88.330;13.870;1.850;705.080;6.000;18.790;3.140;74.960
104;0;65.250;69.710;105.800;5.930;11.370;58.870;9.020;4.450;590.660;14.000;32.230;3.950;81.310
106;0;71.190;60.250;91.620;15.690;19.250;76.190;17.070;9.270;817.400;6.000;31.810;3.390;87.580
108;0;68.930;34.210;84.500;12.390;20.060;72.880;12.090;2.800;1115.330;25.000;59.380;4.210;92.240
109;0;74.560;47.980;66.220;13.710;21.090;17.550;21.580;9.700;984.000;55.000;43.090;6.690;11.490
111;0;57.340;47.250;66.730;31.130;30.460;192.280;17.380;0.000;613.390;14.000;26.350;8.380;98.620
112;0;61.630;30.880;34.150;6.240;8.020;81.750;9.310;0.890;773.170;10.000;38.200;4.040;100.000
113;0;68.790;129.970;94.380;17.560;35.750;422.060;15.840;2.040;1252.310;0.000;62.530;24.430;86.270
114;0;70.150;108.230;52.490;9.760;11.500;95.320;17.100;3.900;760.650;13.000;38.160;6.450;74.110
116;0;67.540;58.010;78.910;6.790;12.540;38.990;5.660;5.750;438.780;13.000;19.610;3.560;48.900
117;0;60.960;14.910;59.400;9.610;24.520;115.840;13.970;3.030;686.850;9.000;34.080;6.690;85.970
118;0;87.900;2.630;0.000;0.000;2.630;0.000;12.500;2.630;561.130;0.000;15.760;0.630;0.000
120;0;62.530;63.770;201.560;21.310;45.390;255.280;11.000;1.950;940.270;10.000;31.540;10.630;80.580
122;0;60.230;2.110;20.040;2.810;9.490;60.560;8.530;1.050;906.000;0.000;42.230;4.280;65.990
123;0;62.520;14.850;31.710;9.830;22.680;151.630;23.290;2.810;692.850;11.000;27.560;9.860;61.160
124;0;64.010;54.980;127.460;30.410;27.280;96.340;17.390;12.080;789.530;33.000;36.800;5.250;85.560
