target;age;educ;work_exp;interest;coffee;boss_educ;passport;green;floor;children;climate;offhour;dist;salary;heigh;lunch
0;50;4;27;8;1.30;1;0;2;3;2;0;0;10.60;1;176;226
0;30;3;10;0;0;6;1;2;3;0;0;0;11.50;0;186;226
0;43;3;22;7;1.90;6;1;1;5;0;3;0;12.80;1;166;238
0;58;3;31;7;2;4;0;3;3;1;1;0;15.20;1;180;216
1;40;3;23;7;0;6;1;3;2;0;0;0;16.10;1;180;286
0;23;3;2;8;1.30;2;0;2;6;0;1;0;14.70;0;166;335
0;37;1;15;9;1.70;4;0;1;3;0;1;0;12.30;1;183;206
0;26;3;9;7;0;3;0;3;1;0;0;1;12.10;1;179;217
0;32;2;6;6;2.10;5;0;2;11;1;1;0;10;0;179;179
0;53;1;36;8;1.20;1;1;1;6;3;4;0;12.20;1;167;193
0;42;6;24;7;0;4;0;4;3;1;4;1;10.20;1;182;345
0;38;1;14;4;0;4;1;3;1;2;1;1;9.20;0;175;258
1;30;3;7;4;0;4;0;1;6;0;0;0;10.30;0;170;142
1;42;5;18;10;0;6;0;2;3;2;3;1;9.20;0;182;246
0;56;1;33;2;2.20;3;0;1;3;1;4;1;9.80;0;185;244
1;38;3;16;4;2.20;5;1;2;6;2;0;1;11.80;0;185;197
1;28;5;5;4;0;2;0;1;4;1;1;0;16.70;1;181;170
0;52;2;31;4;1.50;2;0;5;3;3;4;1;12;1;179;146
0;45;1;24;6;1.90;1;0;1;4;3;3;0;10;1;178;179
0;22;2;0;9;1.80;3;1;5;3;0;1;0;11.90;0;181;275
0;43;4;20;3;2.20;7;1;4;1;0;3;1;1.40;0;180;287
0;40;1;20;8;2.20;2;0;2;3;2;1;0;12.80;1;191;327
0;48;1;30;6;2.10;2;0;1;6;1;2;0;11.60;1;183;169
0;58;4;38;2;1.60;4;0;5;13;3;1;0;11.50;1;175;219
1;42;3;20;0;0;3;1;1;6;3;1;1;11.70;0;174;237
1;56;3;36;2;1.80;4;0;3;3;1;1;1;8.80;1;193;215
1;31;1;7;0;0;2;1;5;3;0;3;0;11.20;0;172;178
0;42;3;21;10;1.40;3;0;5;2;1;4;1;9.20;0;172;268
0;26;3;0;6;1.30;3;0;3;15;2;0;1;10.30;0;177;263
0;46;3;29;4;0;6;0;4;3;2;2;0;11.10;1;172;248
0;57;3;30;6;2;5;1;4;2;2;3;0;9.30;1;180;247
0;42;4;25;5;2.20;3;0;1;2;0;0;0;11.40;0;162;209
0;19;1;2;6;0.90;3;0;2;15;0;2;1;13;0;170;299
1;63;5;43;5;0;5;0;4;1;0;3;0;13.90;0;171;271
0;24;3;7;1;3.10;6;0;3;2;1;0;1;14.50;1;182;244
0;26;3;3;0;0;3;1;2;9;3;0;0;14;0;188;296
0;45;3;21;10;1.20;3;0;4;2;0;3;1;10.40;1;185;217
0;29;4;7;7;0;4;1;1;4;1;1;0;3.50;1;177;293
0;36;2;10;9;2.20;4;0;4;4;3;3;0;12.30;0;193;225
0;28;4;5;0;2.60;5;0;5;3;0;3;0;13.20;0;165;193
0;28;2;6;6;3.30;5;0;1;5;1;1;0;18;1;175;284
1;57;3;38;0;0;4;1;2;3;2;2;0;10.10;0;183;104
1;42;3;19;2;0;3;1;1;1;0;0;1;11.90;0;170;260
0;31;2;4;2;1;4;0;2;7;3;1;0;11.30;0;162;234
0;61;4;39;9;0;4;1;4;9;1;1;1;12.70;1;187;212
0;54;3;36;8;2.10;5;0;1;4;2;2;0;10.70;0;182;227
0;58;2;37;8;2.10;2;0;1;3;2;0;0;16.90;1;189;208
0;35;1;16;8;0;1;0;1;2;0;3;1;13.10;1;194;305
0;27;3;6;6;0.50;3;0;1;7;1;1;1;13.60;1;177;310
0;57;1;30;6;0;2;0;3;4;1;4;0;9.70;0;179;242
0;50;4;30;3;1.20;6;0;1;4;2;3;0;11.80;0;167;252
0;43;4;17;0;1.30;1;0;4;7;2;1;1;12.60;0;175;292
1;22;1;1;2;0;4;1;3;3;0;2;1;13.50;0;177;197
1;25;1;1;6;0;1;1;1;3;0;0;0;10.90;0;172;253
0;50;4;26;8;0;2;0;4;2;0;4;0;10.60;0;182;206
1;28;2;9;1;0;4;0;2;8;3;0;0;14;0;178;241
0;49;3;31;3;0;5;1;5;3;0;3;1;13;1;182;187
0;47;4;30;5;0;5;1;5;1;2;0;0;5;0;188;294
0;27;1;9;6;2.90;2;0;2;9;3;0;0;14.70;0;188;194
0;52;1;35;10;1.60;3;1;5;4;1;0;0;11.20;1;176;326
0;27;2;4;6;1.40;3;1;4;3;2;0;0;11.60;0;174;314
1;36;4;12;4;0;6;1;1;6;3;0;1;16.30;1;179;334
1;44;5;22;5;0;7;0;4;1;0;2;0;12.30;1;161;251
0;38;1;16;5;3.50;1;0;2;2;2;1;0;14.80;0;185;318
1;37;3;15;2;0.50;3;1;1;5;3;2;1;16.20;1;176;215
1;60;3;37;2;1.90;5;1;2;5;3;1;1;7.30;1;175;177
1;30;4;8;5;0;5;0;1;1;2;2;1;10.80;1;185;177
0;40;1;19;7;1.30;3;0;1;12;0;1;1;8;0;172;192
0;35;3;8;7;1.70;4;0;3;2;1;3;0;14.50;0;172;279
0;24;3;1;0;0;3;0;2;16;3;1;1;13.40;1;186;374
0;37;3;16;1;0;5;1;1;1;1;3;1;11.50;0;174;291
0;33;3;14;3;1.60;6;0;3;2;1;2;0;13.50;0;182;246
1;28;2;1;8;0;5;1;5;1;0;3;1;9.60;1;163;116
0;35;2;12;0;2.60;2;0;3;13;3;1;0;14.10;1;166;267
0;41;3;14;2;2.10;4;0;5;14;0;0;1;11.40;0;167;247
0;33;4;14;6;1.20;5;0;5;4;1;3;1;12.60;1;191;171
0;25;1;0;5;0.80;2;1;1;4;1;2;1;10.40;0;175;257
0;38;5;19;7;0;6;1;2;8;0;2;1;14.50;0;173;240
0;26;3;4;6;1.80;3;0;1;4;0;1;0;13.20;1;174;181
0;36;4;14;10;1.50;6;0;2;2;2;1;1;13.60;0;180;223
1;44;1;20;2;0;3;1;2;1;0;1;1;11.80;0;175;242
1;52;6;29;8;0;6;1;5;3;1;4;1;15.10;1;192;281
1;45;3;24;1;0;4;1;4;3;1;0;0;14.80;0;182;227
0;35;1;17;2;3.40;3;0;4;2;1;3;1;10.90;1;172;115
0;47;3;26;8;1.20;3;0;2;3;0;3;1;15.30;0;162;359
1;47;4;20;3;0;1;0;3;1;0;1;0;13.10;0;174;293
0;65;1;45;10;1.60;3;0;5;1;0;1;1;14.90;0;175;272
1;31;2;6;3;0;2;0;2;3;1;0;0;15;0;177;204
0;63;2;41;8;2.30;2;0;1;3;2;3;0;12;0;178;327
